00:00, 0°C
01:00, 2°F
02:00, 4°C
03:00, 6°F
04:00, 8°C
05:00, 10°F
06:00, 12°C
07:00, 14°F
08:00, 16°C
09:00, 18°F
10:00, 20°C
11:00, 22°F
12:00, 24°C
13:00, 26°F
14:00, 28°C
15:00, 30°F
16:00, 32°C
17:00, 34°F
18:00, 36°C
19:00, 38°F
20:00, 40°C
21:00, 42°F
22:00, 44°C
23:00, 46°F
00:00, 48°C
01:00, 50°F
02:00, 52°C
03:00, 54°F
04:00, 56°C
05:00, 58°F
06:00, 60°C
07:00, 62°F
08:00, 64°C
09:00, 66°F
10:00, 68°C
11:00, 70°F
12:00, 72°C
13:00, 74°F
14:00, 76°C
15:00, 78°F
16:00, 80°C
17:00, 82°F
18:00, 84°C
19:00, 86°F
20:00, 88°C
21:00, 90°F
22:00, 92°C
23:00, 94°F
00:00, 96°C
01:00, 98°F
